Report Time (dynamic),2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06
Country Name,GMV,"Δ %, GMV PP",GMV per Merchant,"Δ %, GMV per Merchant PP",Orders,"Δ %, Orders PP",Orders per Merchant,"Δ %, Orders per Merchant PP",GMV per Order,"Δ %, GMV per Order PP",Bolt Plus GMV Share,"Δ ppt, Bolt Plus GMV Share PP",GMV,"Δ %, GMV PP",GMV per Merchant,"Δ %, GMV per Merchant PP",Orders,"Δ %, Orders PP",Orders per Merchant,"Δ %, Orders per Merchant PP",GMV per Order,"Δ %, GMV per Order PP",Bolt Plus GMV Share,"Δ ppt, Bolt Plus GMV Share PP",GMV,"Δ %, GMV PP",GMV per Merchant,"Δ %, GMV per Merchant PP",Orders,"Δ %, Orders PP",Orders per Merchant,"Δ %, Orders per Merchant PP",GMV per Order,"Δ %, GMV per Order PP",Bolt Plus GMV Share,"Δ ppt, Bolt Plus GMV Share PP"
Ukraine,"€648,917",26.4%,€377.06,13.7%,49114,25.0%,29,12.3%,€13,1.2%,15%,-0.7,"€513,210",16.2%,€331.75,10.7%,39299,10.0%,25,4.8%,€13,5.6%,16%,0.4,"€441,844",,€299.76,,35724,,24,,€12,,15%,
