,,Report Time (dynamic),2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06
Country Name,Store Shopping Mission,Brand Name,Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP",Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP",Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP"
Ukraine,Specialty Stores,MEALTIME,61328,-4.5%,5%,-0.3,2781,-10.2%,22%,2.5,53%,3.1,10%,0.6,64217,1.2%,5%,-1.4,3098,-21.0%,20%,0.4,50%,-5.7,10%,1.3,63457,,6%,,3920,,19%,,56%,,8%,
Ukraine,Alcohol Stores,PYVNA SOVA,25267,166.0%,6%,-0.7,1427,136.7%,40%,-10.3,32%,12.3,27%,-13.2,9499,22.9%,6%,-1.1,603,4.9%,51%,2.4,20%,-3.1,41%,3.4,7730,,7%,,575,,48%,,23%,,37%,
Ukraine,Alcohol Stores,MAXBEER,22537,17.4%,4%,-0.8,867,-3.6%,46%,-0.5,17%,-1.2,38%,0.1,19196,-0.7%,5%,0.3,899,6.4%,46%,-1.3,18%,1.4,38%,-1.7,19330,,4%,,845,,48%,,16%,,40%,
Ukraine,Alcohol Stores,SPRAGA,27864,3.3%,5%,0.6,1298,18.2%,45%,-3.1,24%,1.6,34%,-3.1,26967,26.8%,4%,-1.6,1098,-9.6%,48%,-1.8,22%,0.9,37%,-1.8,21264,,6%,,1214,,50%,,22%,,39%,
Ukraine,Alcohol Stores,DIMPYVA,20656,-6.7%,5%,-0.4,1024,-14.4%,45%,1.4,22%,1.,35%,0.6,22149,16.7%,5%,-0.5,1196,6.9%,44%,3.1,21%,-3.1,35%,3.7,18980,,6%,,1119,,41%,,24%,,31%,
Ukraine,Alcohol Stores,CHILL TIME,26849,15.0%,4%,-0.4,962,4.0%,44%,-0.8,25%,5.5,33%,-3.1,23349,0.9%,4%,-0.4,925,-8.1%,45%,1.,19%,-4.7,36%,2.9,23150,,4%,,1007,,44%,,24%,,33%,
Ukraine,Erotic,NO TABOO,138703,22.2%,6%,0.5,7905,32.9%,8%,3.4,75%,25.2,2%,-0.3,113526,16.1%,5%,-2.,5948,-16.6%,4%,1.1,50%,-2.1,2%,0.6,97815,,7%,,7129,,3%,,52%,,2%,
Ukraine,Specialty Stores,LEPRUKON,9410,12.4%,6%,-0.4,529,4.3%,55%,0.8,18%,-0.3,45%,0.8,8374,2.7%,6%,-0.2,507,-0.2%,54%,4.6,19%,-6.1,44%,6.8,8150,,6%,,508,,49%,,25%,,37%,
Ukraine,Alcohol Stores,HALYTSKYI KUKHOL,15542,28.7%,5%,0.2,764,32.9%,41%,-0.9,23%,0.9,32%,-1.1,12072,11.7%,5%,-0.2,575,7.3%,42%,6.4,22%,2.4,33%,4.1,10803,,5%,,536,,36%,,20%,,29%,
Ukraine,Gas Station Convenience,BRSM,128899,94.9%,4%,-0.6,5533,69.9%,15%,2.7,62%,13.4,6%,-0.6,66150,279.2%,5%,-1.4,3257,193.7%,12%,2.8,48%,-12.4,6%,2.6,17446,,6%,,1109,,9%,,61%,,4%,
Ukraine,Alcohol Stores,ALTBIER,23053,4.5%,4%,-0.,889,3.3%,31%,-3.,27%,5.7,23%,-4.1,22051,-7.6%,4%,-0.2,861,-12.5%,34%,1.2,21%,-2.7,27%,1.8,23866,,4%,,984,,33%,,24%,,25%,
Ukraine,Alcohol Stores,OPILLYA,16585,67.2%,4%,0.5,694,92.2%,28%,-0.7,28%,7.9,20%,-2.8,9922,0.3%,4%,-0.3,361,-7.7%,29%,-8.3,20%,-2.6,23%,-5.6,9888,,4%,,391,,37%,,23%,,29%,
Ukraine,Alcohol Stores,GOOD BEER VIN,15787,67.5%,4%,-1.,578,31.4%,38%,-1.5,31%,-2.,26%,-0.2,9425,-48.1%,5%,1.7,440,-18.2%,40%,9.8,33%,-1.7,26%,7.,18152,,3%,,538,,30%,,35%,,19%,
Ukraine,Alcohol Stores,PIVOMARKET KYIV,23276,63.6%,3%,-0.6,679,35.0%,37%,1.9,24%,-6.8,28%,3.8,14227,108.8%,4%,0.9,503,179.4%,35%,11.3,31%,-2.3,24%,8.3,6814,,3%,,180,,23%,,33%,,16%,
Ukraine,Alcohol Stores,BEARS BEER,16882,38.2%,4%,0.8,689,73.6%,32%,-2.3,20%,4.2,26%,-3.3,12217,12.1%,3%,0.3,397,22.9%,35%,7.3,16%,-8.9,29%,8.5,10896,,3%,,323,,27%,,25%,,20%,
Ukraine,Specialty Stores,TAISTRA,5033,-46.0%,9%,0.7,434,-41.0%,52%,4.7,38%,-0.,32%,2.9,9320,-18.9%,8%,-2.2,735,-36.5%,47%,-1.8,38%,-6.7,29%,2.2,11494,,10%,,1158,,49%,,45%,,27%,
Ukraine,Specialty Stores,MEAL TIME,19612,,7%,,1296,,14%,,56%,,6%,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Alcohol Stores,PIVOBANK,17982,15.4%,3%,-0.2,624,8.7%,28%,5.1,21%,0.8,22%,3.8,15585,49.3%,4%,-0.4,574,34.7%,23%,-0.4,20%,-4.5,18%,0.7,10441,,4%,,426,,23%,,24%,,17%,
