,,Report Time (dynamic),2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06
Country Name,Store Shopping Mission,Brand Name,Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP",Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP",Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP"
Ukraine,Alcohol Stores,BRATER BEER WE GO,4032,-5.0%,3%,-0.,139,-6.1%,45%,-4.,19%,6.9,36%,-6.6,4246,19.3%,3%,-0.2,148,12.1%,49%,-2.1,13%,-6.9,43%,1.7,3560,,4%,,132,,51%,,19%,,41%,
Ukraine,Alcohol Stores,GOLD BEER PUB,7325,74.7%,2%,0.7,137,191.5%,49%,34.,25%,-3.2,36%,25.9,4193,-1.8%,1%,-0.4,47,-28.8%,15%,-6.3,29%,21.4,11%,-9.1,4268,,2%,,66,,21%,,7%,,20%,
Ukraine,Alcohol Stores,DRAFT BEER VINNYTSIA,4114,-22.0%,6%,0.8,246,-10.2%,28%,-2.2,42%,5.9,16%,-3.1,5272,13.0%,5%,-1.5,274,-12.7%,30%,7.4,36%,16.7,19%,0.9,4664,,7%,,314,,23%,,19%,,18%,
Ukraine,Alcohol Stores,MISTO PIVMARKET,4647,42.6%,6%,1.,285,70.7%,32%,-7.8,35%,9.4,21%,-8.9,3258,15.4%,5%,-1.3,167,-7.7%,40%,5.9,25%,-11.7,30%,8.4,2823,,6%,,181,,34%,,37%,,22%,
Ukraine,Alcohol Stores,KLAN PYVA,14460,47.9%,3%,0.5,491,75.4%,12%,-3.9,52%,4.,6%,-2.5,9774,33.3%,3%,-0.1,280,26.7%,16%,5.8,48%,2.3,8%,2.8,7331,,3%,,221,,10%,,45%,,5%,
Ukraine,Flower Shops,ONE SAY,12251,8.6%,6%,-1.3,783,-10.1%,3%,0.9,76%,21.,1%,-0.3,11278,26.5%,8%,-0.5,871,19.3%,2%,-0.4,55%,0.,1%,-0.2,8917,,8%,,730,,3%,,55%,,1%,
Ukraine,Alcohol Stores,BEER AND MORE,3974,65.3%,2%,-0.4,91,42.2%,29%,9.8,35%,-7.1,19%,7.7,2404,1.6%,3%,-0.1,64,-1.5%,19%,0.3,42%,-16.7,11%,3.2,2366,,3%,,65,,18%,,58%,,8%,
Ukraine,Alcohol Stores,CHEESE&WINE,22041,33.4%,2%,-0.,378,32.2%,18%,4.6,49%,10.8,9%,0.9,16520,-23.0%,2%,0.4,286,0.0%,14%,-4.9,38%,-16.3,8%,0.,21462,,1%,,286,,19%,,55%,,8%,
Ukraine,Alcohol Stores,PIV.KO,4538,-11.1%,5%,2.1,217,59.6%,25%,2.6,31%,5.1,18%,0.6,5102,-39.6%,3%,0.7,136,-20.0%,23%,-4.3,26%,-13.3,17%,0.4,8454,,2%,,170,,27%,,39%,,16%,
Ukraine,Alcohol Stores,JAGER BREWERY,3156,84.0%,6%,-0.,196,83.2%,29%,-12.6,32%,18.5,19%,-16.1,1715,0.5%,6%,0.1,107,2.9%,41%,9.4,14%,-7.6,36%,10.5,1706,,6%,,104,,32%,,21%,,25%,
Ukraine,Alcohol Stores,CRAFT BEER MARKET,6483,55.5%,4%,0.3,279,68.1%,23%,4.3,50%,17.7,11%,-1.2,4168,7.9%,4%,-0.5,166,-4.6%,19%,3.2,32%,13.7,13%,0.,3862,,5%,,174,,16%,,19%,,13%,
Ukraine,Alcohol Stores,COOL BEER,2680,54.8%,4%,0.,111,56.3%,32%,14.6,23%,-10.5,24%,13.1,1731,-9.2%,4%,0.1,71,-7.8%,17%,-10.4,33%,14.3,11%,-10.8,1907,,4%,,77,,27%,,19%,,22%,
Ukraine,Tobacco Stores,VAPERY | VAPE SHOP,4554,3.5%,7%,-0.9,315,-9.0%,26%,5.8,51%,5.7,13%,1.7,4399,9.1%,8%,1.,346,24.9%,20%,-3.9,45%,1.,11%,-2.4,4032,,7%,,277,,24%,,44%,,13%,
Ukraine,Tobacco Stores,VAPESEE,2530,,12%,,298,,26%,,70%,,8%,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Erotic,INTIMATE COMPANY,2705,195.0%,14%,5.2,372,376.9%,8%,-1.2,59%,15.8,3%,-1.9,917,-35.1%,9%,-2.6,78,-50.3%,9%,1.3,43%,9.5,5%,0.,1414,,11%,,157,,8%,,33%,,5%,
Ukraine,Grocery Stores,HALYA BALUVANA,5820,71.1%,4%,0.5,206,98.1%,20%,2.1,55%,-3.1,9%,1.5,3402,-14.5%,3%,-0.6,104,-28.3%,18%,3.1,58%,-5.7,8%,2.2,3981,,4%,,145,,15%,,64%,,6%,
Ukraine,Alcohol Stores,SUSHI VESLA,3875,0.9%,7%,-2.9,281,-27.6%,20%,-0.3,58%,17.9,9%,-3.8,3840,-19.3%,10%,-1.8,388,-31.8%,21%,8.5,40%,-7.8,12%,6.,4761,,12%,,569,,12%,,48%,,6%,
Ukraine,Alcohol Stores,SOLO VINO,13751,281.7%,1%,-0.2,171,235.3%,10%,-15.5,47%,31.7,5%,-16.3,3603,82.6%,1%,-0.2,51,59.4%,25%,6.7,15%,-51.3,22%,15.3,1973,,2%,,32,,19%,,67%,,6%,
Ukraine,Flower Shops,KVITY VAV,7262,67.0%,4%,-0.,281,66.3%,15%,2.9,72%,24.5,4%,-2.2,4348,-33.7%,4%,-0.3,169,-38.3%,12%,-0.7,48%,-13.5,7%,1.4,6559,,4%,,274,,13%,,61%,,5%,
Ukraine,Alcohol Stores,PYVO I VISKI LBEER,2249,-3.1%,4%,-0.1,95,-5.9%,24%,0.4,26%,-3.1,18%,1.1,2321,-21.1%,4%,1.8,101,34.7%,24%,3.8,29%,9.2,17%,0.8,2940,,3%,,75,,20%,,20%,,16%,
Ukraine,Alcohol Stores,BEERSTORE,16493,159.8%,2%,-0.2,386,139.8%,16%,7.1,59%,-19.6,6%,4.6,6348,14.8%,3%,-0.4,161,0.0%,9%,-6.2,79%,28.6,2%,-5.6,5531,,3%,,161,,15%,,50%,,7%,
Ukraine,Alcohol Stores,PYVKO,7284,22.2%,3%,-0.7,198,-1.5%,21%,-3.2,40%,-0.3,13%,-1.8,5959,40.0%,3%,-0.9,201,11.7%,24%,1.6,41%,-3.1,14%,1.7,4257,,4%,,180,,23%,,44%,,13%,
Ukraine,Grocery Stores,LEPRUKON,4436,13.8%,3%,-1.4,128,-23.8%,36%,-18.8,30%,5.4,25%,-16.1,3897,-1.4%,4%,-1.3,168,-24.3%,55%,-0.2,25%,3.7,41%,-2.2,3952,,6%,,222,,55%,,21%,,43%,
Ukraine,Alcohol Stores,ROCK BEER,1679,90.4%,5%,0.6,76,117.1%,28%,10.5,24%,-9.5,21%,9.6,882,-19.1%,4%,-0.3,35,-23.9%,17%,-4.6,33%,13.3,11%,-6.,1090,,4%,,46,,22%,,20%,,17%,
Ukraine,Alcohol Stores,BROVARNYA 8,4721,37.3%,5%,-0.1,254,33.7%,17%,-8.3,30%,7.3,12%,-7.7,3439,-7.4%,6%,-0.5,190,-15.6%,25%,8.4,23%,-8.7,19%,7.9,3712,,6%,,225,,17%,,32%,,12%,
Ukraine,Alcohol Stores,KAFETERIY,4732,20.2%,3%,-0.1,143,17.2%,27%,-15.4,41%,12.2,16%,-14.2,3938,-6.2%,3%,0.2,122,-0.8%,43%,19.9,29%,0.3,30%,14.1,4200,,3%,,123,,23%,,29%,,16%,
Ukraine,Flower Shops,FRESH FLOWERS,6264,141.6%,2%,-0.8,132,76.0%,9%,1.1,50%,0.,5%,0.5,2593,-27.5%,3%,-0.2,75,-33.0%,8%,-0.,50%,-16.7,4%,1.3,3579,,3%,,112,,8%,,67%,,3%,
Ukraine,Alcohol Stores,DRAFT & CRAFT BEER SHOP,3549,22.5%,5%,0.2,164,28.1%,12%,9.1,50%,50.,6%,3.,2898,8.3%,4%,-0.1,128,5.8%,3%,-1.,0%,-20.,3%,-0.2,2677,,5%,,121,,4%,,20%,,3%,
Ukraine,Alcohol Stores,PIVOVAR,4055,-60.6%,3%,0.2,120,-57.4%,28%,-2.5,24%,-9.8,22%,1.1,10282,450.7%,3%,-1.2,282,286.3%,31%,22.6,33%,-16.7,21%,16.5,1867,,4%,,73,,8%,,50%,,4%,
Ukraine,Alcohol Stores,PIVNOY BUTIK,6890,-19.8%,2%,0.4,165,-1.8%,25%,4.6,39%,9.6,15%,0.9,8586,101.0%,2%,-1.4,168,17.5%,20%,4.9,29%,-11.5,14%,5.2,4272,,3%,,143,,15%,,41%,,9%,
Ukraine,Tobacco Stores,13GRAM,11799,82.0%,4%,-0.,523,81.0%,9%,4.8,60%,-3.6,3%,2.1,6483,-24.0%,4%,0.,289,-23.7%,4%,-2.3,64%,7.1,1%,-1.3,8529,,4%,,379,,6%,,57%,,3%,
Ukraine,Tobacco Stores,PARA RIVNE,10645,,6%,,679,,14%,,83%,,2%,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Grocery Stores,SPAR,4249,"3,470.6%",7%,-1.7,286,"2,760.0%",26%,-4.5,67%,33.8,8%,-11.6,119,,8%,,10,,30%,,33%,,20%,,,,,,,,,,,,,
Ukraine,Alcohol Stores,BEER TIME KYIV,6180,128.8%,4%,-0.,217,128.4%,16%,0.9,44%,1.3,9%,0.3,2701,23.0%,4%,0.2,95,30.1%,15%,-7.2,43%,11.6,8%,-6.6,2196,,3%,,73,,22%,,31%,,15%,
Ukraine,Alcohol Stores,BEER FRESH,4342,13.8%,2%,0.2,94,25.3%,32%,-9.4,30%,-5.5,22%,-4.3,3815,22.7%,2%,-0.9,75,-15.7%,41%,15.5,35%,0.7,27%,9.8,3110,,3%,,89,,26%,,35%,,17%,
Ukraine,Alcohol Stores,BEER CLUB LVIV,3873,"5,133.8%",6%,-5.2,217,"2,612.5%",15%,2.2,44%,-56.3,8%,8.3,74,,11%,,8,,13%,,100%,,0%,,,,,,,,,,,,,
Ukraine,Alcohol Stores,PIVKO KHM,4656,47.0%,4%,0.7,170,78.9%,24%,-8.,58%,27.5,10%,-12.1,3167,9.7%,3%,0.1,95,11.8%,32%,6.9,30%,-3.3,22%,5.6,2888,,3%,,85,,25%,,33%,,16%,
Ukraine,Alcohol Stores,PYVNA 2 LITRA,2542,57.0%,3%,0.3,83,72.9%,27%,5.7,18%,-21.8,22%,9.2,1619,14.0%,3%,-1.1,48,-17.2%,21%,12.2,40%,0.,13%,7.3,1420,,4%,,58,,9%,,40%,,5%,
Ukraine,Alcohol Stores,PORTAL PUB,5711,15.1%,2%,0.2,110,27.9%,5%,0.8,33%,-16.7,4%,1.3,4963,-17.7%,2%,0.1,86,-10.4%,5%,-0.6,50%,10.,2%,-0.8,6033,,2%,,96,,5%,,40%,,3%,
Ukraine,Alcohol Stores,BEERCO,2372,44.0%,4%,-0.,94,42.4%,21%,9.2,20%,-30.,17%,11.,1647,-10.3%,4%,1.4,66,37.5%,12%,-4.5,50%,12.5,6%,-4.4,1837,,3%,,48,,17%,,38%,,10%,
Ukraine,Specialty Stores,SINEMA SITI,2868,-52.0%,9%,2.6,244,-31.3%,17%,8.6,46%,-5.4,9%,5.1,5977,569.3%,6%,-2.,355,400.0%,8%,-3.1,52%,-10.8,4%,-0.3,893,,8%,,71,,11%,,63%,,4%,
Ukraine,Flower Shops,SELINA FLOWERS,14110,166.2%,2%,-0.,269,163.7%,6%,-2.9,75%,19.4,1%,-2.4,5300,-46.5%,2%,1.,102,8.5%,9%,3.5,56%,-24.4,4%,2.9,9915,,1%,,94,,5%,,80%,,1%,
Ukraine,Alcohol Stores,KHMILNIY BOB,2711,10.5%,4%,1.4,98,78.2%,21%,-2.2,33%,2.6,14%,-2.1,2453,0.1%,2%,-0.,55,-1.8%,24%,-1.4,31%,-4.9,16%,0.3,2450,,2%,,56,,25%,,36%,,16%,
Ukraine,Tobacco Stores,CLOUD_HUB,426,,13%,,57,,30%,,24%,,23%,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Alcohol Stores,PYVANDR,11951,13.8%,3%,-1.,350,-15.5%,15%,-7.3,66%,29.5,5%,-9.1,10500,-3.3%,4%,0.4,414,6.2%,22%,-3.7,37%,4.2,14%,-3.4,10860,,4%,,390,,26%,,32%,,18%,
Ukraine,Alcohol Stores,BROVARNIA PYVNA LEHENDA,5905,40.7%,4%,-0.2,249,34.6%,14%,0.1,47%,7.1,7%,-0.9,4198,10.6%,4%,0.2,185,16.4%,14%,-3.5,40%,6.7,8%,-3.2,3794,,4%,,159,,17%,,33%,,11%,
Ukraine,Alcohol Stores,BRATER BAR,3404,11.6%,4%,-1.5,128,-19.5%,14%,-2.9,44%,22.2,8%,-5.4,3049,-16.5%,5%,1.1,159,6.7%,17%,2.9,22%,-11.1,13%,3.8,3651,,4%,,149,,14%,,33%,,9%,
Ukraine,Flower Shops,UKRAINE FLOWERS,9850,205.2%,3%,-1.2,255,110.7%,11%,2.3,83%,28.2,2%,-2.2,3227,20.9%,4%,-1.4,121,-11.7%,9%,1.1,55%,-18.2,4%,1.9,2670,,5%,,137,,8%,,73%,,2%,
Ukraine,Alcohol Stores,MAHAZYN ROZLYVNOHO PYVA BAVARIA,2739,47.1%,3%,-0.8,76,15.2%,28%,1.9,19%,1.4,22%,1.2,1862,-20.2%,4%,0.7,66,0.0%,26%,1.5,18%,5.1,21%,0.,2332,,3%,,66,,24%,,13%,,21%,
Ukraine,Alcohol Stores,BERLIN,2904,28.3%,3%,-0.6,73,4.3%,25%,-8.2,33%,7.2,16%,-7.8,2263,5.8%,3%,-0.2,70,-1.4%,33%,3.3,26%,-2.5,24%,3.2,2139,,3%,,71,,30%,,29%,,21%,
Ukraine,Alcohol Stores,BEERWIEL,1356,-69.4%,4%,0.5,56,-64.8%,30%,-3.6,29%,-0.2,21%,-2.5,4430,29.8%,4%,-0.2,159,22.3%,34%,1.7,30%,10.6,24%,-2.3,3414,,4%,,130,,32%,,19%,,26%,
Ukraine,Alcohol Stores,SMAK PYVA,2241,79.9%,3%,-0.8,64,39.1%,22%,6.7,43%,-14.3,13%,6.,1246,-38.7%,4%,1.5,46,2.2%,15%,10.8,57%,-42.9,7%,6.5,2034,,2%,,45,,4%,,100%,,0%,
Ukraine,Alcohol Stores,APIVAS,1885,6.0%,6%,-0.7,111,-5.9%,28%,-8.5,45%,10.3,15%,-8.4,1778,27.9%,7%,-2.5,118,-7.1%,36%,-1.4,35%,5.7,24%,-3.,1390,,9%,,127,,38%,,29%,,27%,
Ukraine,Flower Shops,LIME FLOWERS&DECOR,4883,51.0%,4%,0.8,212,84.3%,11%,2.6,71%,30.8,3%,-1.9,3234,-7.3%,4%,-0.5,115,-19.0%,9%,-3.3,40%,-7.1,5%,-1.1,3490,,4%,,142,,12%,,47%,,6%,
Ukraine,Flower Shops,LAVANDA FLOWERS,9030,"16,937.7%",2%,-5.1,222,"5,450.0%",6%,-18.7,86%,85.7,1%,-24.1,53,-88.5%,8%,4.9,4,-66.7%,25%,16.7,0%,-100.,25%,25.,460,,3%,,12,,8%,,100%,,0%,
Ukraine,Specialty Stores,SWEET HOUSE,4761,80.5%,3%,-0.2,130,68.8%,11%,3.,43%,-7.1,6%,2.3,2637,6.2%,3%,-0.7,77,-14.4%,8%,3.3,50%,25.,4%,0.6,2484,,4%,,90,,4%,,25%,,3%,
Ukraine,Flower Shops,MILANO FLOWERS,7961,118.8%,2%,-0.4,173,88.0%,8%,-0.6,71%,21.4,2%,-2.,3639,-51.0%,3%,0.5,92,-37.8%,9%,6.,50%,0.,4%,3.,7434,,2%,,148,,3%,,50%,,1%,
Ukraine,Alcohol Stores,PYVO BAZA,2876,79.0%,3%,0.1,82,82.2%,28%,-0.8,57%,10.4,12%,-3.4,1607,-21.2%,3%,-0.5,45,-32.8%,29%,5.,46%,-3.8,16%,3.6,2039,,3%,,67,,24%,,50%,,12%,
Ukraine,Alcohol Stores,BEER TIME,1799,35.5%,5%,0.3,82,43.9%,30%,12.9,36%,16.,20%,5.5,1328,-1.6%,4%,0.4,57,7.5%,18%,-3.2,20%,-7.3,14%,-1.1,1349,,4%,,53,,21%,,27%,,15%,
Ukraine,Alcohol Stores,YOY_CHE,2475,71.4%,3%,-0.4,72,50.0%,19%,-7.6,21%,-17.,15%,-1.4,1444,-16.7%,3%,0.8,48,11.6%,27%,3.8,38%,-21.5,17%,7.4,1733,,2%,,43,,23%,,60%,,9%,
Ukraine,Flower Shops,LILIUM STUDIO,8742,140.2%,3%,-0.3,264,116.4%,11%,-1.8,83%,33.3,2%,-4.7,3640,29.6%,3%,-1.,122,0.0%,13%,8.2,50%,-16.7,7%,4.9,2808,,4%,,122,,5%,,67%,,2%,
Ukraine,,TOCHKA,1120,-11.9%,3%,-0.5,34,-24.4%,38%,4.9,31%,-2.6,26%,4.2,1272,-1.0%,4%,-2.,45,-36.6%,33%,-7.5,33%,-4.6,22%,-3.1,1285,,6%,,71,,41%,,38%,,25%,
Ukraine,Specialty Stores,CBD LOVER,3774,26.9%,6%,1.,238,50.6%,8%,6.5,55%,21.7,4%,2.5,2973,-3.2%,5%,-1.6,158,-25.8%,2%,-0.4,33%,-26.7,1%,0.3,3071,,7%,,213,,2%,,60%,,1%,
Ukraine,Alcohol Stores,DNEPR.YACHT,4241,63.2%,2%,0.1,89,67.9%,18%,-0.9,31%,-8.8,12%,1.,2598,-34.7%,2%,-0.1,53,-38.4%,19%,-0.9,40%,-1.2,11%,-0.3,3978,,2%,,86,,20%,,41%,,12%,
Ukraine,Alcohol Stores,BEER MEN,1937,-30.9%,3%,0.3,62,-22.5%,31%,13.1,74%,30.8,8%,-1.9,2804,12.4%,3%,-0.5,80,-4.8%,18%,-0.4,43%,-10.5,10%,1.7,2494,,3%,,84,,18%,,53%,,8%,
Ukraine,Alcohol Stores,PYVNI TRADYTSII,1440,,5%,,66,,30%,,65%,,11%,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Grocery Stores,DAKS MARKET,3043,25.0%,4%,0.,110,25.0%,24%,-0.2,65%,8.2,8%,-2.,2435,-13.0%,4%,-0.9,88,-30.7%,24%,3.4,57%,18.7,10%,-2.4,2799,,5%,,127,,20%,,38%,,13%,
Ukraine,Alcohol Stores,JUST BEER,4050,310.8%,1%,-1.,51,131.8%,27%,0.2,50%,33.3,14%,-9.,986,-18.4%,2%,0.3,22,-4.3%,27%,5.5,17%,16.7,23%,1.,1208,,2%,,23,,22%,,0%,,22%,
Ukraine,Flower Shops,LOVE FLOWERS,9974,593.1%,3%,-0.8,264,438.8%,6%,-7.8,94%,51.3,0%,-7.8,1439,14.0%,3%,-0.2,49,6.5%,14%,1.2,43%,-23.8,8%,3.8,1262,,4%,,46,,13%,,67%,,4%,
Ukraine,Alcohol Stores,BIERWELLE,3844,689.3%,6%,0.8,235,803.8%,17%,1.2,69%,-5.8,5%,1.3,487,-56.9%,5%,0.5,26,-52.7%,15%,-2.8,75%,35.,4%,-7.1,1130,,5%,,55,,18%,,40%,,11%,
Ukraine,Alcohol Stores,BEERWOLF,2020,"1,194.9%",4%,-4.,88,576.9%,16%,8.2,43%,42.9,9%,1.4,156,,8%,,13,,8%,,0%,,8%,,,,,,,,,,,,,
Ukraine,Flower Shops,FLORA DEN,4338,,4%,,176,,4%,,86%,,1%,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Alcohol Stores,MAHAZYN BEER HAPPY,2874,69.8%,3%,-1.4,91,18.2%,21%,4.,47%,32.,11%,-3.3,1693,-3.3%,5%,0.7,77,13.2%,17%,-9.6,15%,-17.9,14%,-3.4,1750,,4%,,68,,26%,,33%,,18%,
Ukraine,Flower Shops,ODA FLOWERS,4830,28.5%,2%,0.3,118,49.4%,9%,0.5,82%,53.2,2%,-4.6,3760,11.9%,2%,-1.5,79,-35.2%,9%,6.4,29%,-38.1,6%,5.5,3361,,4%,,122,,2%,,67%,,1%,
Ukraine,Alcohol Stores,BEER BAR FRIENDS,2709,100.2%,2%,0.4,60,140.0%,10%,-10.,33%,-26.7,7%,-1.3,1353,-6.8%,2%,0.3,25,13.6%,20%,-7.3,60%,10.,8%,-5.6,1451,,2%,,22,,27%,,50%,,14%,
Ukraine,Alcohol Stores,BEERSTORE365,3015,50.3%,2%,0.3,53,82.8%,17%,-0.3,22%,-17.8,13%,2.9,2006,8.0%,1%,-0.3,29,-9.4%,17%,-4.6,40%,-17.1,10%,1.,1857,,2%,,32,,22%,,57%,,9%,
Ukraine,Alcohol Stores,PYVKO NA PISHCHANOMU,1808,53.6%,3%,0.5,51,88.9%,18%,10.2,56%,55.6,8%,0.4,1177,-17.3%,2%,-0.2,27,-22.9%,7%,4.6,0%,-100.,7%,7.4,1423,,2%,,35,,3%,,100%,,0%,
Ukraine,Alcohol Stores,GIGI BAR-BOUTIQUEGIGI BAR-BOUTIQUE,3927,28.5%,6%,0.4,220,39.2%,4%,2.4,50%,50.,2%,0.6,3055,-26.0%,5%,-0.4,158,-31.6%,1%,-0.5,0%,-100.,1%,1.3,4129,,6%,,231,,2%,,100%,,0%,
Ukraine,Alcohol Stores,PYVNA ZAPRAVKA,1794,35.7%,5%,0.5,98,48.5%,8%,3.6,38%,37.5,5%,0.6,1322,13.3%,5%,0.6,66,29.4%,5%,-11.1,0%,-37.5,5%,-5.3,1167,,4%,,51,,16%,,38%,,10%,
Ukraine,Grocery Stores,KHMELNYI LEV,1113,42.7%,5%,-1.9,53,1.9%,19%,9.3,50%,30.,9%,1.7,780,43.4%,7%,-0.1,52,40.5%,10%,-3.9,20%,-20.,8%,-0.4,544,,7%,,37,,14%,,40%,,8%,
Ukraine,Alcohol Stores,VYNO UKRAINY,2373,"79,000.0%",2%,-31.4,46,"4,500.0%",2%,-97.8,0%,-100.,2%,2.2,3,,33%,,1,,100%,,100%,,0%,,,,,,,,,,,,,
Ukraine,Alcohol Stores,3.14VO,892,-9.0%,5%,2.7,42,110.0%,21%,16.4,56%,-44.4,10%,9.5,980,,2%,,20,,5%,,100%,,0%,,,,,,,,,,,,,
Ukraine,Alcohol Stores,SHOPOPIVU?,1444,-29.3%,5%,2.5,77,35.1%,9%,3.8,57%,23.8,4%,0.4,2043,-14.9%,3%,0.6,57,7.5%,5%,-7.9,33%,-9.5,4%,-4.,2401,,2%,,53,,13%,,43%,,8%,
Ukraine,Specialty Stores,KAVALER TUTI,161,-25.8%,35%,-12.1,57,-44.7%,9%,-0.9,40%,-50.,5%,4.3,217,8.5%,47%,-29.,103,-32.7%,10%,3.8,90%,1.1,1%,0.3,200,,77%,,153,,6%,,89%,,1%,
Ukraine,Flower Shops,RWW.ART,7384,282.4%,2%,-0.6,118,174.4%,12%,-6.7,86%,60.7,2%,-12.3,1931,-55.6%,2%,0.6,43,-41.1%,19%,14.5,25%,25.,14%,9.8,4354,,2%,,73,,4%,,0%,,4%,
Ukraine,Alcohol Stores,OBEER,391,-57.7%,3%,-1.5,13,-71.1%,38%,0.7,0%,0.,38%,0.7,924,-23.3%,5%,1.,45,-4.3%,38%,-0.5,0%,-22.2,38%,8.,1205,,4%,,47,,38%,,22%,,30%,
Ukraine,Grocery Stores,CHAI_PV,1637,482.6%,13%,-12.,205,197.1%,0%,-4.3,,,0%,0.,281,,25%,,69,,4%,,100%,,0%,,,,,,,,,,,,,
Ukraine,Grocery Stores,BRONZE,1067,-23.7%,6%,-1.3,69,-36.1%,13%,5.6,78%,40.3,3%,-1.7,1399,14.3%,8%,-2.6,108,-14.3%,7%,-0.5,38%,-22.5,5%,1.5,1224,,10%,,126,,8%,,60%,,3%,
Ukraine,Alcohol Stores,ROCKBEER,1997,57.5%,3%,-0.6,61,32.6%,7%,2.2,50%,50.,3%,-1.1,1268,36.6%,4%,0.8,46,76.9%,4%,-7.2,0%,-33.3,4%,-3.3,928,,3%,,26,,12%,,33%,,8%,
Ukraine,Alcohol Stores,LOCATSIA 2 ALCOHOL,725,29.0%,6%,1.4,40,73.9%,8%,-1.2,33%,-16.7,5%,0.7,562,-28.8%,4%,-1.,23,-42.5%,9%,6.2,50%,50.,4%,1.8,789,,5%,,40,,3%,,0%,,3%,
Ukraine,Alcohol Stores,1.0.0 RADS BAR,3140,12.2%,3%,-0.3,91,1.1%,7%,-4.5,50%,10.,3%,-3.4,2798,19.1%,3%,-0.2,90,12.5%,11%,4.9,40%,20.,7%,1.7,2349,,3%,,80,,6%,,20%,,5%,
Ukraine,Convenience Stores,CRAFT BEER MARKET,286,271.4%,8%,-0.1,22,266.7%,9%,9.1,100%,,0%,0.,77,-25.2%,8%,-0.9,6,-33.3%,0%,-22.2,,,0%,0.,103,,9%,,9,,22%,,100%,,0%,
Ukraine,Flower Shops,KATRIN'S FLOWERS,1619,19.5%,5%,-0.2,83,15.3%,8%,4.3,86%,19.,1%,-0.2,1355,96.1%,5%,0.1,72,100.0%,4%,-4.2,67%,0.,1%,-1.4,691,,5%,,36,,8%,,67%,,3%,
Ukraine,Flower Shops,MILLION FLOWERS,1102,,9%,,96,,5%,,80%,,1%,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Flower Shops,RV-FLOWER,1661,136.6%,5%,-0.7,80,105.1%,13%,2.2,80%,5.,3%,-0.1,702,-22.1%,6%,1.7,39,11.4%,10%,-4.,75%,15.,3%,-3.2,901,,4%,,35,,14%,,60%,,6%,
Ukraine,Alcohol Stores,BREWMEN,990,-2.0%,5%,1.5,45,45.2%,2%,2.2,0%,,2%,2.2,1010,-10.3%,3%,-1.1,31,-34.0%,0%,-10.6,,,0%,-10.6,1126,,4%,,47,,11%,,0%,,11%,
Ukraine,Alcohol Stores,PINA.BEER,2440,115.2%,2%,-0.4,60,87.5%,8%,8.3,60%,,3%,3.3,1134,-26.3%,3%,1.3,32,39.1%,0%,-4.3,,,0%,0.,1539,,1%,,23,,4%,,100%,,0%,
Ukraine,Alcohol Stores,MAHAZYN ROZLYVNOHO PYVA PYVOTEKA,1578,6.0%,3%,-1.2,46,-25.8%,4%,-6.9,50%,7.1,2%,-4.3,1489,-35.1%,4%,-3.5,62,-64.8%,11%,-16.6,43%,-4.1,6%,-8.3,2295,,8%,,176,,28%,,47%,,15%,
Ukraine,Alcohol Stores,PYVO BILYA TEBE,832,-61.6%,7%,2.9,57,-33.7%,16%,10.,89%,28.9,2%,-0.6,2169,-9.5%,4%,0.,86,-9.5%,6%,-3.7,60%,37.8,2%,-5.,2397,,4%,,95,,9%,,22%,,7%,
Ukraine,Alcohol Stores,KRAN KHARKIV,2282,-18.0%,4%,-0.6,94,-28.8%,4%,-10.1,50%,44.7,2%,-11.5,2784,0.8%,5%,0.9,132,23.4%,14%,8.8,5%,-44.7,14%,10.8,2762,,4%,,107,,6%,,50%,,3%,
Ukraine,Specialty Stores,SKHIDNA TOCHKA,3938,122.6%,4%,-2.,158,49.1%,8%,5.7,92%,-8.3,1%,0.6,1769,,6%,,106,,2%,,100%,,0%,,,,,,,,,,,,,
