,,Report Time (dynamic),2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06
Country Name,Store Shopping Mission,Brand Name,Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP"
Ukraine,Alcohol Stores,OPILLYA,2040.319137573,4,0%,96%,1.5,,,2040.319137573,20%,-2.,76%,54.8,16%,12.9,25%,25.5,2040.319137573,1%,-1.9,24,-3%,2%,-1.2,0%,0.,,,1%,0.6,1224.759872437,4,0%,95%,9.7,,,1224.759872437,22%,3.1,21%,-58.,3%,-9.9,0%,0.,1224.759872437,3%,-0.2,25,3%,3%,2.3,0%,0.,,,0%,-0.8,1669.318634033,4,,85%,,,,1669.318634033,19%,,79%,,13%,,0%,,1669.318634033,3%,,24,,1%,,0%,,,,1%,
Ukraine,Alcohol Stores,GOOD BEER VIN,2000.895965576,3,0%,97%,0.7,,,2000.895965576,13%,0.1,12%,3.7,5%,2.7,10%,6.8,2000.895965576,3%,-0.9,23,-17%,4%,-1.2,0%,0.,,,2%,1.,1566.119110107,3,0%,96%,4.2,,,1566.119110107,13%,-0.8,8%,0.2,2%,-0.9,3%,-0.4,1566.119110107,4%,-1.3,28,20%,6%,2.9,0%,0.,,,1%,-1.,1316.257324219,3,,92%,,,,1316.257324219,14%,,8%,,3%,,4%,,1316.257324219,5%,,24,,3%,,0%,,,,2%,
Ukraine,Alcohol Stores,PIVOMARKET KYIV,1900.272312164,13,0%,96%,-1.4,,,1900.272312164,16%,-0.5,6%,-5.4,2%,-0.9,10%,-22.9,1900.272312164,5%,0.1,24,-8%,2%,-2.8,0%,0.,,,4%,0.3,1270.566807747,13,0%,98%,10.2,,,1270.566807747,16%,1.3,11%,11.1,3%,1.6,33%,-7.8,1270.566807747,5%,-0.7,26,-16%,5%,-6.3,0%,0.,,,4%,-7.,314.170546055,13,,87%,,,,314.170546055,15%,,0%,,2%,,41%,,314.170546055,6%,,31,,11%,,0%,,,,11%,
Ukraine,Alcohol Stores,BEARS BEER,1822.876059532,10,0%,71%,2.1,,,1822.876059532,21%,-1.1,3%,3.3,3%,2.6,17%,16.6,1822.876059532,7%,-2.3,22,-2%,2%,0.8,0%,0.,,,2%,0.8,1080.933354855,10,0%,69%,22.4,,,1080.933354855,23%,2.9,0%,-8.6,0%,-3.6,0%,0.,1080.933354855,10%,-3.1,23,-2%,1%,-3.5,0%,0.,,,1%,-0.6,591.954847336,10,,47%,,,,591.954847336,20%,,9%,,4%,,0%,,591.954847336,13%,,23,,4%,,0%,,,,1%,
Ukraine,Specialty Stores,TAISTRA,1770.469970703,1,0%,95%,-2.1,81%,-5.5,1770.469970703,12%,-1.4,1%,0.5,0%,0.,0%,0.,1770.469970703,2%,-0.5,20,-18%,3%,0.6,27%,3.6,37%,2.7,3%,-0.5,2758.510986328,1,0%,97%,-2.6,87%,-3.9,2758.510986328,13%,0.9,0%,-18.,0%,-6.,0%,-36.,2758.510986328,3%,-0.8,24,-18%,2%,-0.1,23%,-2.6,34%,8.3,4%,1.6,4370.239257813,1,,99%,,91%,,4370.239257813,12%,,18%,,6%,,36%,,4370.239257813,3%,,29,,2%,,26%,,26%,,2%,
Ukraine,Specialty Stores,MEAL TIME,1727.239959717,3,,98%,,,,1727.239959717,10%,,14%,,5%,,5%,,1727.239959717,2%,,41,,1%,,0%,,,,3%,,0,0,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Alcohol Stores,PIVOBANK,1662.555833817,15,0%,90%,0.6,,,1662.555833817,14%,-0.1,23%,10.6,9%,7.,22%,18.7,1662.555833817,5%,-1.6,25,-2%,2%,-1.6,0%,0.,,,2%,0.2,1197.484949112,15,-6%,90%,4.5,,,1197.484949112,14%,-0.4,13%,-1.2,2%,-0.3,3%,1.6,1197.484949112,6%,-3.8,26,5%,4%,-0.9,0%,0.,,,2%,1.8,848.868659973,16,,85%,,,,848.868659973,15%,,14%,,3%,,1%,,848.868659973,10%,,25,,4%,,0%,,,,0%,
Ukraine,Alcohol Stores,GOOD BEER,1618.173206329,4,-20%,97%,0.5,,,1618.173206329,19%,-0.1,64%,48.6,16%,12.2,77%,59.3,1618.173206329,1%,-0.8,25,13%,3%,2.,0%,0.,,,2%,-0.9,1448.60062027,5,0%,97%,15.5,,,1448.60062027,19%,1.1,15%,-5.,4%,-1.9,17%,0.3,1448.60062027,1%,-3.9,22,-12%,1%,-0.9,0%,0.,,,3%,3.,1817.066604614,5,,81%,,,,1817.066604614,18%,,20%,,5%,,17%,,1817.066604614,5%,,25,,2%,,0%,,,,0%,
Ukraine,Alcohol Stores,KEGOVA,1528.972412109,1,0%,99%,-0.,,,1528.972412109,18%,-2.4,93%,5.2,28%,5.7,71%,-0.7,1528.972412109,0%,-0.8,26,-1%,4%,2.8,0%,0.,,,2%,-0.2,2107.591796875,1,0%,99%,-0.5,,,2107.591796875,20%,0.9,88%,-3.5,22%,2.5,72%,20.9,2107.591796875,1%,0.,26,3%,2%,-1.6,0%,0.,,,2%,0.8,2090.4765625,1,,100%,,,,2090.4765625,19%,,92%,,20%,,51%,,2090.4765625,1%,,25,,3%,,0%,,,,2%,
Ukraine,Alcohol Stores,UMANPYVO BRANDSTORE,1496.317199707,7,0%,98%,-0.7,,,1496.317199707,17%,0.3,9%,9.1,3%,3.3,3%,2.6,1496.317199707,5%,2.5,27,24%,4%,-4.1,0%,0.,,,3%,1.4,929.189990997,7,0%,99%,2.,,,929.189990997,17%,-3.1,0%,-0.9,0%,-0.3,0%,0.,929.189990997,2%,-0.2,22,-12%,8%,2.,0%,0.,,,2%,1.,1041.010594368,7,,97%,,,,1041.010594368,20%,,1%,,0%,,0%,,1041.010594368,3%,,25,,6%,,0%,,,,1%,
Ukraine,Alcohol Stores,PRAVDA CRAFT MISSION,1461.189109802,7,0%,94%,7.4,,,1461.189109802,14%,0.2,22%,18.5,9%,7.9,12%,9.5,1461.189109802,6%,-1.,33,51%,2%,-1.7,0%,0.,,,0%,0.,968.674499512,7,0%,86%,-6.4,,,968.674499512,14%,0.6,3%,1.4,1%,0.6,2%,1.,968.674499512,7%,-0.7,22,5%,3%,0.9,0%,0.,,,0%,0.,889.384040833,7,,93%,,,,889.384040833,13%,,2%,,0%,,1%,,889.384040833,7%,,21,,2%,,0%,,,,0%,
Ukraine,Flower Shops,FLOWER SHOP,1430.989959717,4,0%,84%,-3.3,,,1430.989959717,10%,1.8,77%,-0.9,26%,8.8,65%,15.2,1430.989959717,23%,5.9,105,16%,5%,3.,0%,0.,,,3%,-1.,1584.668029785,4,0%,88%,-0.1,,,1584.668029785,8%,1.7,78%,-13.5,17%,-7.6,50%,-25.,1584.668029785,17%,-5.2,90,-4%,2%,-1.,0%,0.,,,4%,1.1,1394.072822571,4,,88%,,,,1394.072822571,6%,,92%,,25%,,75%,,1394.072822571,23%,,94,,3%,,0%,,,,3%,
Ukraine,Grocery Stores,RODYNNA KOVBASKA,1351.841059551,30,-3%,77%,2.6,82%,-1.7,1351.841059551,16%,-0.2,11%,9.3,9%,8.5,53%,52.9,1351.841059551,52%,6.6,86,173%,3%,0.8,52%,0.,19%,1.,4%,-1.7,545.005671501,31,19%,74%,19.1,84%,-4.,545.005671501,16%,4.2,2%,-14.9,1%,-6.8,0%,0.,545.005671501,46%,-1.2,31,-70%,2%,-0.3,52%,13.6,18%,-15.2,6%,-2.7,677.276165724,26,,55%,,88%,,677.276165724,12%,,16%,,7%,,0%,,677.276165724,47%,,104,,3%,,38%,,33%,,8%,
Ukraine,Alcohol Stores,NALYVKY ZI LVOVA,1306.599121094,1,0%,100%,0.4,,,1306.599121094,9%,-1.2,89%,10.4,24%,6.1,81%,6.3,1306.599121094,1%,-3.5,36,13%,7%,1.7,0%,0.,,,5%,4.9,574.417602539,1,0%,99%,16.8,,,574.417602539,10%,1.4,79%,-16.7,18%,-2.1,75%,-19.1,574.417602539,5%,-3.3,31,-12%,5%,0.8,0%,0.,,,0%,-1.4,1180.068847656,1,,83%,,,,1180.068847656,9%,,96%,,20%,,94%,,1180.068847656,8%,,36,,4%,,0%,,,,1%,
Ukraine,Flower Shops,NL FLOWER SHOP,1301.715415955,4,0%,64%,-0.2,,,1301.715415955,9%,0.2,18%,13.1,7%,6.4,36%,36.4,1301.715415955,13%,-12.8,44,-46%,3%,-4.7,0%,0.,,,8%,4.2,810.034824371,4,0%,64%,1.1,,,810.034824371,9%,1.9,5%,3.4,0%,-0.6,0%,0.,810.034824371,26%,-5.5,82,-19%,7%,-1.2,0%,0.,,,4%,-7.7,1117.027381897,4,,63%,,,,1117.027381897,7%,,2%,,1%,,0%,,1117.027381897,31%,,101,,9%,,0%,,,,11%,
Ukraine,Alcohol Stores,SVIJIY ROZLUV,1298.683959961,2,0%,97%,0.,,,1298.683959961,14%,-1.2,0%,-0.4,0%,0.,1%,1.1,1298.683959961,13%,6.1,23,-21%,2%,0.1,0%,0.,,,0%,0.,1482.002929688,2,0%,97%,2.5,,,1482.002929688,15%,2.,0%,-2.5,0%,-1.2,0%,-1.4,1482.002929688,7%,3.1,29,18%,2%,-2.2,0%,0.,,,0%,0.,1008.367126465,2,,95%,,,,1008.367126465,13%,,3%,,1%,,1%,,1008.367126465,4%,,25,,4%,,0%,,,,0%,
Ukraine,Alcohol Stores,PYANA VYSHNYA,1263.740966797,12,-20%,63%,-5.3,,,1263.740966797,15%,0.5,13%,6.5,7%,4.7,6%,2.6,1263.740966797,5%,-4.,30,12%,5%,5.,0%,0.,,,6%,6.2,938.318510056,15,7%,68%,5.7,,,938.318510056,15%,-1.1,6%,0.,2%,-1.8,4%,3.9,938.318510056,9%,-1.8,27,-1%,0%,-3.1,0%,0.,,,0%,0.,946.342542648,14,,62%,,,,946.342542648,16%,,6%,,4%,,0%,,946.342542648,11%,,27,,3%,,0%,,,,0%,
Ukraine,Alcohol Stores,MAHAZYN PYVNYY UKRAIINSKYJ KRAFT,1226.641033173,6,0%,94%,4.8,,,1226.641033173,21%,1.2,0%,0.,1%,0.7,12%,9.9,1226.641033173,11%,4.7,24,15%,4%,1.9,0%,0.,,,2%,-1.,1203.600154877,6,0%,89%,-5.8,,,1203.600154877,20%,-3.,0%,0.,0%,0.2,2%,2.1,1203.600154877,6%,-0.6,21,-11%,2%,-0.8,0%,0.,,,3%,2.,1226.833873749,6,,95%,,,,1226.833873749,23%,,0%,,0%,,0%,,1226.833873749,7%,,24,,3%,,0%,,,,1%,
Ukraine,Alcohol Stores,UMANPIVO,1217.941497803,6,0%,97%,0.4,,,1217.941497803,21%,-0.2,9%,4.,5%,2.4,14%,-9.7,1217.941497803,4%,1.5,25,17%,1%,1.4,0%,0.,,,4%,2.6,904.752601624,6,0%,97%,11.8,,,904.752601624,22%,-3.5,5%,-9.9,2%,-0.3,24%,6.8,904.752601624,3%,-0.9,21,-19%,0%,-1.8,0%,0.,,,1%,0.9,477.198205948,6,,85%,,,,477.198205948,25%,,14%,,3%,,17%,,477.198205948,4%,,26,,2%,,0%,,,,0%,
Ukraine,Convenience Stores,REMESLO BREWERY,1215.465911865,2,0%,91%,-2.1,,,1215.465911865,17%,-2.1,6%,-4.9,5%,-0.5,51%,-17.9,1215.465911865,6%,3.6,26,-1%,4%,0.2,0%,0.,,,0%,-2.,863.411560059,2,0%,93%,-0.4,,,863.411560059,19%,4.7,10%,3.7,5%,1.1,69%,-4.1,863.411560059,2%,-5.5,26,-20%,4%,2.1,0%,0.,,,2%,0.1,1017.209472656,2,,93%,,,,1017.209472656,14%,,7%,,4%,,73%,,1017.209472656,8%,,33,,2%,,0%,,,,2%,
Ukraine,Alcohol Stores,LUCKY BEER,1072.359619141,1,0%,99%,-0.4,,,1072.359619141,14%,0.1,0%,-1.3,0%,-0.3,0%,0.,1072.359619141,2%,1.7,22,-3%,2%,-1.3,0%,0.,,,0%,0.,1708.065185547,1,0%,100%,-0.1,,,1708.065185547,13%,0.,1%,-0.3,0%,-0.2,0%,-1.4,1708.065185547,0%,0.,23,4%,3%,3.,0%,0.,,,0%,-1.4,1274.470092773,1,,100%,,,,1274.470092773,13%,,2%,,0%,,1%,,1274.470092773,0%,,22,,0%,,0%,,,,1%,
Ukraine,Alcohol Stores,SEIM,1057.165527344,1,0%,94%,-1.9,,,1057.165527344,17%,1.3,6%,0.7,4%,2.4,7%,7.1,1057.165527344,0%,0.,21,-10%,1%,-1.6,0%,0.,,,0%,-2.4,1157.430541992,1,0%,96%,-0.8,,,1157.430541992,16%,-1.2,6%,2.9,1%,0.6,0%,-1.2,1157.430541992,0%,-1.2,24,3%,2%,2.4,0%,0.,,,2%,1.2,718.80279541,1,,97%,,,,718.80279541,17%,,3%,,1%,,1%,,718.80279541,1%,,23,,0%,,0%,,,,1%,
Ukraine,Alcohol Stores,LITR BEER,990.575134277,1,0%,95%,-3.6,,,990.575134277,18%,-1.7,80%,-0.5,13%,3.1,24%,23.7,990.575134277,0%,0.,28,9%,5%,0.5,0%,0.,,,0%,0.,1047.896850586,1,0%,99%,-0.2,,,1047.896850586,20%,2.,81%,-6.5,10%,-1.,0%,0.,1047.896850586,0%,0.,26,5%,5%,2.7,0%,0.,,,0%,0.,921.691345215,1,,99%,,,,921.691345215,18%,,87%,,11%,,0%,,921.691345215,0%,,24,,2%,,0%,,,,0%,
Ukraine,Alcohol Stores,PYVOTEKA ODESA,959.235237122,3,0%,98%,-0.2,,,959.235237122,18%,-2.6,5%,5.1,3%,2.6,19%,18.9,959.235237122,2%,-3.3,27,-7%,7%,-1.2,0%,0.,,,1%,-0.,907.588539124,3,0%,98%,0.2,,,907.588539124,20%,2.,0%,-3.4,0%,-0.4,0%,0.,907.588539124,5%,1.5,29,12%,8%,0.6,0%,0.,,,1%,-1.9,1025.875152588,3,,98%,,,,1025.875152588,18%,,3%,,0%,,0%,,1025.875152588,4%,,26,,7%,,0%,,,,3%,
Ukraine,Specialty Stores,VAPE STORY,920.545471191,2,0%,92%,-5.6,,,920.545471191,21%,-2.9,12%,3.9,6%,4.3,28%,22.7,920.545471191,17%,-0.3,29,11%,1%,-0.,0%,0.,,,3%,-1.5,821.349182129,2,0%,98%,15.1,,,821.349182129,24%,2.8,8%,-31.3,2%,-9.,5%,-20.9,821.349182129,18%,4.8,26,-26%,1%,-8.7,0%,0.,,,4%,-2.7,1100.000396729,2,,83%,,,,1100.000396729,21%,,39%,,11%,,26%,,1100.000396729,13%,,35,,10%,,0%,,,,7%,
Ukraine,Alcohol Stores,BEER SOTA,892.379627228,4,-20%,33%,-15.1,,,892.379627228,13%,-0.,6%,-7.8,3%,0.7,6%,5.6,892.379627228,5%,-18.8,25,13%,0%,0.,0%,0.,,,1%,-2.1,283.707486153,5,-17%,48%,15.9,,,283.707486153,13%,-1.,14%,13.6,2%,2.,0%,0.,283.707486153,24%,-5.9,22,-25%,0%,0.,0%,0.,,,3%,-1.6,148.653507233,6,,32%,,,,148.653507233,14%,,0%,,0%,,0%,,148.653507233,30%,,30,,0%,,0%,,,,5%,
Ukraine,Alcohol Stores,SOLOD BEER MARKET,868.365905762,1,0%,100%,0.2,,,868.365905762,14%,-5.5,9%,9.1,8%,8.2,4%,4.3,868.365905762,2%,0.2,31,28%,3%,-0.6,0%,0.,,,1%,1.,428.076538086,1,0%,100%,-0.1,,,428.076538086,19%,6.4,0%,-13.7,0%,-6.4,0%,0.,428.076538086,2%,0.,24,-8%,4%,-2.5,0%,0.,,,0%,-1.9,456.143341064,1,,100%,,,,456.143341064,13%,,14%,,6%,,0%,,456.143341064,2%,,26,,6%,,0%,,,,2%,
Ukraine,Alcohol Stores,PYVOTEKA 2020,858.683776855,1,0%,98%,-1.8,,,858.683776855,20%,-2.6,92%,-1.8,24%,2.5,56%,9.7,858.683776855,3%,3.1,26,-3%,3%,0.5,0%,0.,,,0%,-1.3,988.885009766,1,0%,100%,-0.3,,,988.885009766,23%,3.9,94%,-0.2,21%,-1.5,47%,10.2,988.885009766,0%,-6.,26,-7%,3%,-1.9,0%,0.,,,1%,-0.2,978.328125,1,,100%,,,,978.328125,19%,,95%,,23%,,37%,,978.328125,6%,,28,,4%,,0%,,,,1%,
Ukraine,Alcohol Stores,BEER EMPORIUM,824.842407227,1,0%,97%,-2.,,,824.842407227,21%,-3.3,0%,0.,1%,0.8,7%,6.6,824.842407227,3%,1.3,36,77%,3%,1.3,0%,0.,,,3%,1.3,588.797363281,1,0%,99%,-0.8,,,588.797363281,24%,-0.5,0%,-0.6,0%,-0.1,0%,0.,588.797363281,2%,1.9,20,6%,2%,1.9,0%,0.,,,2%,1.9,502.330871582,1,,99%,,,,502.330871582,25%,,1%,,0%,,0%,,502.330871582,0%,,19,,0%,,0%,,,,0%,
Ukraine,Alcohol Stores,PYVOMARKET,815.588134766,2,0%,93%,-5.6,,,815.588134766,16%,-0.2,25%,-6.5,13%,2.3,45%,-14.9,815.588134766,4%,-1.,34,8%,0%,-4.1,0%,0.,,,1%,-1.7,1123.489135742,2,0%,99%,1.4,,,1123.489135742,16%,-2.8,32%,10.6,11%,5.7,60%,38.4,1123.489135742,5%,-0.5,32,-5%,4%,0.8,0%,0.,,,3%,2.,788.946487427,2,,98%,,,,788.946487427,19%,,21%,,5%,,21%,,788.946487427,6%,,33,,3%,,0%,,,,1%,
Ukraine,Alcohol Stores,LVIVSKI KRANY,814.194019318,6,0%,98%,-0.,,,814.194019318,12%,1.6,1%,-0.4,1%,-0.,6%,-0.1,814.194019318,0%,0.,20,1%,0%,-2.8,0%,0.,,,0%,-1.4,868.94187355,6,0%,98%,2.6,,,868.94187355,11%,-0.9,2%,-0.9,1%,-1.8,6%,-7.6,868.94187355,0%,0.,20,-9%,3%,0.4,0%,0.,,,1%,1.4,965.220316887,6,,95%,,,,965.220316887,12%,,3%,,3%,,13%,,965.220316887,0%,,22,,2%,,0%,,,,0%,
Ukraine,Alcohol Stores,PYVO TUTA,795.552185059,1,0%,99%,2.,,,795.552185059,23%,-4.5,9%,9.,4%,3.8,22%,21.9,795.552185059,6%,-5.2,26,3%,3%,0.2,0%,0.,,,4%,1.6,326.566101074,1,0%,97%,16.8,,,326.566101074,27%,3.3,0%,-6.1,0%,-1.,0%,0.,326.566101074,11%,11.1,25,-7%,3%,-0.6,0%,0.,,,3%,-3.9,372.693237305,1,,80%,,,,372.693237305,24%,,6%,,1%,,0%,,372.693237305,0%,,27,,3%,,0%,,,,7%,
Ukraine,Alcohol Stores,PYVNA LIHA,789.141418457,1,0%,97%,-2.2,,,789.141418457,18%,-0.8,68%,-12.1,21%,-1.8,79%,-13.3,789.141418457,0%,-1.3,36,7%,4%,-1.2,0%,0.,,,1%,0.,789.097290039,1,0%,99%,1.2,,,789.097290039,19%,0.1,80%,24.,22%,5.9,92%,5.,789.097290039,1%,1.3,34,-15%,5%,-7.7,0%,0.,,,1%,1.3,413.34954834,1,,98%,,,,413.34954834,19%,,56%,,17%,,87%,,413.34954834,0%,,40,,13%,,0%,,,,0%,
Ukraine,Alcohol Stores,BEERROOM,782.758789063,3,0%,91%,-4.,,,782.758789063,15%,-1.,5%,4.9,3%,2.7,6%,6.2,782.758789063,2%,-1.1,17,5%,0%,0.,0%,0.,,,0%,-1.2,687.963821411,3,0%,95%,14.9,,,687.963821411,16%,2.3,0%,-4.7,0%,-2.1,0%,0.,687.963821411,4%,0.9,16,-3%,0%,-1.3,0%,0.,,,1%,-1.5,581.772483826,3,,80%,,,,581.772483826,14%,,5%,,2%,,0%,,581.772483826,3%,,17,,1%,,0%,,,,3%,
Ukraine,Alcohol Stores,PIVASOV,704.246608734,24,0%,89%,1.,,,704.246608734,18%,-1.8,1%,-12.4,1%,-2.9,7%,-35.1,704.246608734,12%,1.5,29,-12%,4%,-0.6,0%,0.,,,6%,6.,389.497751713,24,"2,300%",88%,88.3,,,389.497751713,20%,,14%,,4%,,42%,,389.497751713,10%,,33,,4%,,0%,,,,0%,,0,1,,0%,,,,0,,,,,,,,,0,,,,,,,,,,,,
Ukraine,Alcohol Stores,BEER COMPANY,623.796478271,2,0%,96%,1.4,,,623.796478271,22%,0.7,0%,0.,2%,1.6,10%,10.,623.796478271,2%,-2.5,18,-15%,3%,0.5,0%,0.,,,2%,0.3,716.125717163,2,0%,95%,0.8,,,716.125717163,22%,-1.5,0%,0.,0%,-0.2,0%,-1.4,716.125717163,4%,4.2,21,5%,3%,0.1,0%,0.,,,1%,0.,737.167053223,2,,94%,,,,737.167053223,23%,,0%,,0%,,1%,,737.167053223,0%,,20,,3%,,0%,,,,1%,
Ukraine,Alcohol Stores,BOHEMIAN KINGS BEER,623.444849014,4,0%,65%,7.1,,,623.444849014,19%,1.3,3%,-3.5,2%,0.8,12%,11.8,623.444849014,4%,3.8,28,-5%,0%,-9.3,0%,0.,,,2%,1.9,524.693618774,4,0%,58%,-4.7,,,524.693618774,18%,3.4,7%,5.2,1%,0.6,0%,0.,524.693618774,0%,-2.6,29,18%,9%,6.7,0%,0.,,,0%,-1.3,1034.249603271,4,,63%,,,,1034.249603271,14%,,2%,,0%,,0%,,1034.249603271,3%,,25,,3%,,0%,,,,1%,
Ukraine,Alcohol Stores,SHOPYVO,618.471313477,1,0%,92%,-6.4,,,618.471313477,18%,3.9,9%,5.3,3%,2.5,7%,7.4,618.471313477,1%,-0.2,24,5%,3%,1.3,0%,0.,,,1%,-0.2,689.251831055,1,0%,98%,3.9,,,689.251831055,14%,0.1,3%,2.3,1%,0.2,0%,0.,689.251831055,2%,-3.1,23,-13%,2%,-3.1,0%,0.,,,2%,1.6,731.360778809,1,,94%,,,,731.360778809,14%,,1%,,0%,,0%,,731.360778809,5%,,26,,5%,,0%,,,,0%,
Ukraine,Alcohol Stores,VINNYTSKE PUVO,617.92755127,1,0%,95%,-5.4,,,617.92755127,16%,0.9,6%,-8.8,2%,-0.9,3%,3.2,617.92755127,3%,3.1,21,29%,2%,1.6,0%,0.,,,2%,1.6,573.297546387,1,0%,100%,-0.,,,573.297546387,15%,-1.7,15%,9.,3%,1.6,0%,0.,573.297546387,0%,-1.8,16,-11%,0%,-5.3,0%,0.,,,0%,-1.8,484.111663818,1,,100%,,,,484.111663818,17%,,6%,,1%,,0%,,484.111663818,2%,,18,,5%,,0%,,,,2%,
Ukraine,Alcohol Stores,PYVNA HAVAN,617.624052048,7,0%,93%,-2.3,,,617.624052048,19%,-0.2,9%,5.5,4%,3.1,5%,3.9,617.624052048,8%,-6.4,20,-1%,2%,0.4,0%,0.,,,5%,3.6,826.082996368,7,0%,96%,-0.3,,,826.082996368,19%,1.,3%,-6.7,1%,-2.8,1%,-0.4,826.082996368,14%,-2.5,21,-13%,1%,-4.9,0%,0.,,,1%,-3.4,642.385429382,7,,96%,,,,642.385429382,18%,,10%,,4%,,2%,,642.385429382,17%,,24,,6%,,0%,,,,5%,
Ukraine,Alcohol Stores,PO PYVKU,616.753234863,1,0%,96%,-2.2,,,616.753234863,12%,-0.8,8%,8.4,7%,6.6,20%,19.5,616.753234863,2%,-7.,26,35%,7%,7.3,0%,0.,,,2%,-3.9,291.51473999,1,0%,99%,0.7,,,291.51473999,12%,1.7,0%,-9.6,0%,-4.4,0%,0.,291.51473999,9%,-3.1,19,-33%,0%,0.,0%,0.,,,6%,6.3,82.020782471,1,,98%,,,,82.020782471,11%,,10%,,4%,,0%,,82.020782471,13%,,29,,0%,,0%,,,,0%,
Ukraine,Alcohol Stores,TOP BEER,595.454243183,4,0%,89%,-0.8,,,595.454243183,19%,-0.7,1%,-2.7,2%,0.6,21%,18.6,595.454243183,5%,-5.7,53,108%,0%,0.,0%,0.,,,0%,0.,534.587593079,4,0%,90%,-2.5,,,534.587593079,20%,1.1,4%,1.8,1%,0.3,3%,0.2,534.587593079,10%,-9.3,25,-1%,0%,-6.5,0%,0.,,,0%,-2.2,538.62279129,4,,92%,,,,538.62279129,19%,,2%,,1%,,3%,,538.62279129,20%,,26,,7%,,0%,,,,2%,
Ukraine,Alcohol Stores,PYVO MAN,552.477432251,2,0%,98%,-0.7,,,552.477432251,14%,-0.1,4%,1.9,2%,1.7,13%,12.5,552.477432251,0%,0.,24,2%,3%,-2.1,0%,0.,,,2%,-0.9,315.603523254,2,0%,99%,1.4,,,315.603523254,14%,0.1,2%,2.,0%,0.4,0%,0.,315.603523254,0%,0.,24,4%,5%,-0.7,0%,0.,,,3%,-4.5,420.160766602,2,,97%,,,,420.160766602,14%,,0%,,0%,,0%,,420.160766602,0%,,23,,6%,,0%,,,,7%,
