,,Report Time (dynamic),2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06
Country Name,Store Shopping Mission,Brand Name,Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP"
Ukraine,Convenience Stores,OKKO MARKET,12809.613870144,196,"2,350%",97%,-1.9,98%,-0.1,12809.613870144,15%,-1.8,15%,10.2,5%,3.8,7%,7.4,12809.613870144,11%,-9.6,73,58%,7%,-16.1,0%,0.,,,5%,-0.,687.916114807,8,100%,99%,13.8,98%,,687.916114807,17%,,5%,,1%,,0%,,687.916114807,20%,,46,,23%,,0%,,,,5%,,0,4,,85%,,,,0,,,,,,,,,0,,,,,,,,,,,,
Ukraine,Grocery Stores,RUKAVYCHKA,10259.327829361,12,50%,24%,-7.4,91%,0.7,10259.327829361,15%,-2.7,14%,12.6,6%,5.9,4%,3.1,10259.327829361,12%,0.2,101,229%,3%,1.,21%,-5.5,13%,-7.8,4%,-0.4,7747.838638306,8,-20%,32%,3.,91%,-2.2,7747.838638306,17%,3.3,2%,-6.4,1%,-2.9,0%,0.5,7747.838638306,12%,1.4,31,-31%,2%,-1.3,26%,2.3,21%,3.2,4%,0.6,11374.703620911,10,,29%,,93%,,11374.703620911,14%,,8%,,3%,,0%,,11374.703620911,10%,,45,,4%,,24%,,17%,,4%,
Ukraine,Grocery Stores,TAISTRA,8835.887190819,11,22%,72%,-13.3,80%,-5.1,8835.887190819,11%,-0.8,10%,-6.4,5%,-0.7,4%,-23.2,8835.887190819,7%,0.4,36,34%,5%,2.4,16%,-7.1,30%,4.7,2%,-1.4,8056.992462158,9,13%,86%,-2.1,85%,-3.9,8056.992462158,12%,0.1,16%,-6.4,5%,-2.5,28%,-20.9,8056.992462158,7%,2.5,27,-13%,3%,-1.6,23%,-1.2,25%,6.8,4%,0.4,8724.46081543,8,,88%,,89%,,8724.46081543,11%,,23%,,8%,,48%,,8724.46081543,5%,,31,,5%,,24%,,18%,,3%,
Ukraine,Alcohol Stores,LEPRUKON,8626.040487289,28,-3%,97%,-1.2,,,8626.040487289,17%,-0.6,34%,0.1,19%,1.6,71%,-9.7,8626.040487289,5%,0.5,46,6%,5%,-1.2,0%,0.,,,2%,-0.2,6613.108767509,29,222%,98%,6.2,,,6613.108767509,17%,1.1,34%,-3.,18%,-0.,81%,-9.6,6613.108767509,4%,1.8,43,43%,6%,0.4,0%,0.,,,2%,1.1,5009.926971436,9,,92%,,,,5009.926971436,16%,,37%,,18%,,90%,,5009.926971436,2%,,30,,5%,,0%,,,,1%,
Ukraine,Grocery Stores,SANTIM,7011.660766602,3,0%,99%,5.4,83%,-1.9,7011.660766602,13%,-0.1,16%,-1.1,10%,1.5,79%,24.4,7011.660766602,2%,-3.3,49,-24%,8%,-0.8,33%,3.3,21%,1.9,4%,-0.,5672.111999512,3,0%,93%,3.5,84%,-3.5,5672.111999512,13%,0.1,17%,3.4,8%,0.,55%,-5.6,5672.111999512,5%,0.1,65,47%,9%,1.8,30%,-3.7,19%,-8.,4%,-1.7,6334.227416992,3,,90%,,88%,,6334.227416992,13%,,14%,,8%,,61%,,6334.227416992,5%,,45,,7%,,34%,,27%,,5%,
Ukraine,Pharmacies,ANRI-PHARM,6834.404566765,64,-6%,94%,5.4,82%,-8.3,6834.404566765,20%,-2.4,1%,-0.8,6%,-2.1,78%,-12.2,6834.404566765,9%,-5.3,31,-19%,4%,-0.4,1%,-4.8,0%,0.,3%,-0.2,6186.560227394,68,11%,88%,27.3,91%,-8.8,6186.560227394,23%,-1.8,2%,1.6,8%,-2.3,91%,-3.5,6186.560227394,14%,-12.8,39,7%,5%,-1.8,6%,-2.7,0%,0.,3%,-2.3,5399.99747467,61,,61%,,100%,,5399.99747467,25%,,1%,,11%,,94%,,5399.99747467,27%,,36,,6%,,8%,,0%,,5%,
Ukraine,Alcohol Stores,WINETIME,6700.191356659,20,-5%,77%,-0.8,,,6700.191356659,11%,-0.7,22%,14.8,14%,10.2,52%,2.7,6700.191356659,15%,9.3,72,107%,6%,1.5,0%,0.,,,4%,2.2,4875.20145607,21,-13%,77%,-8.7,,,4875.20145607,12%,-0.6,7%,-2.5,4%,0.5,50%,22.,4875.20145607,6%,-1.3,35,-5%,5%,-0.9,0%,0.,,,2%,1.4,5003.288780212,24,,86%,,,,5003.288780212,12%,,10%,,3%,,28%,,5003.288780212,7%,,37,,6%,,0%,,,,1%,
Ukraine,Alcohol Stores,TOCHKA,6358.268497467,18,0%,97%,-1.6,,,6358.268497467,15%,-0.4,3%,1.1,2%,0.4,9%,-1.8,6358.268497467,0%,-1.6,24,-1%,3%,0.,0%,0.,,,1%,-0.4,6535.6263237,18,0%,99%,0.1,,,6535.6263237,16%,-0.1,2%,0.2,1%,0.3,10%,2.4,6535.6263237,2%,0.4,24,1%,3%,-0.4,0%,0.,,,2%,0.2,5848.998950958,18,,99%,,,,5848.998950958,16%,,2%,,1%,,8%,,5848.998950958,1%,,24,,4%,,0%,,,,1%,
Ukraine,Grocery Stores,KOPIYKA MINI,5471.670479774,19,0%,95%,-3.5,86%,-1.9,5471.670479774,15%,-0.3,21%,-1.2,11%,2.5,72%,36.1,5471.670479774,7%,2.4,46,28%,10%,3.6,24%,3.8,30%,6.4,3%,-1.6,5316.404443741,19,6%,98%,2.6,88%,-2.7,5316.404443741,15%,0.6,22%,-2.6,9%,-1.3,36%,-5.9,5316.404443741,5%,-1.9,36,-49%,7%,-2.2,20%,0.4,23%,-6.5,5%,-0.7,5324.523460388,18,,96%,,90%,,5324.523460388,15%,,25%,,10%,,42%,,5324.523460388,7%,,70,,9%,,20%,,30%,,5%,
Ukraine,Specialty Stores,MEALTIME,5333.285842896,15,0%,99%,0.5,,,5333.285842896,13%,0.2,11%,8.5,5%,3.9,15%,14.9,5333.285842896,5%,2.,37,-5%,2%,-1.4,0%,0.,,,3%,-1.4,6226.539512634,15,0%,99%,-0.9,,,6226.539512634,13%,1.3,3%,-8.9,1%,-4.1,0%,-4.3,6226.539512634,2%,-2.5,39,-18%,4%,-0.6,0%,0.,,,4%,1.,7125.141414642,15,,100%,,,,7125.141414642,11%,,12%,,5%,,5%,,7125.141414642,5%,,48,,4%,,0%,,,,3%,
