Report Time (dynamic),2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06
Country Name,Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP"
Ukraine,648916.562607274,1721,11%,80%,1.,80%,-3.8,648916.562607274,13%,0.,23%,3.9,9%,2.5,37%,6.1,648916.562607274,8%,2.2,57,83%,6%,0.8,21%,3.2,40%,1.4,5%,0.7,513210.027527511,1547,5%,79%,2.3,84%,-0.4,513210.027527511,13%,-0.2,19%,2.4,6%,1.2,31%,10.6,513210.027527511,6%,-1.3,31,-10%,5%,-0.3,18%,3.6,38%,12.8,4%,0.1,441844.493152142,1474,,77%,,84%,,441844.493152142,14%,,16%,,5%,,21%,,441844.493152142,7%,,35,,6%,,14%,,25%,,4%,
