Report Time (dynamic),2026-08,2026-08,2026-08,2026-08,2026-07,2026-07,2026-07,2026-07,2026-06,2026-06,2026-06,2026-06
Country Name,Active Users,"Δ %, Active Users PP",Frequency,"Δ %, Frequency PP",Active Users,"Δ %, Active Users PP",Frequency,"Δ %, Frequency PP",Active Users,"Δ %, Active Users PP",Frequency,"Δ %, Frequency PP"
Ukraine,20394,28.4%,2.41,-2.7%,15883,7.4%,2.47,2.4%,14791,,2.42,
