,,Report Time (dynamic),2026-06,2026-06,2026-06,2026-06,2026-07,2026-07,2026-07,2026-07,2026-08,2026-08,2026-08,2026-08
Country Name,Store Shopping Mission,Brand Name,Active Users,"Δ %, Active Users PP",Frequency,"Δ %, Frequency PP",Active Users,"Δ %, Active Users PP",Frequency,"Δ %, Frequency PP",Active Users,"Δ %, Active Users PP",Frequency,"Δ %, Frequency PP"
Ukraine,Alcohol Stores,LVIVSKI KRANY,36,24.1%,2.31,-5.8%,29,-14.7%,2.45,15.6%,34,,2.12,
Ukraine,Alcohol Stores,PYANA VYSHNYA,40,21.2%,1.45,-6.2%,33,-23.3%,1.55,-13.7%,43,,1.79,
Ukraine,Alcohol Stores,LITR BEER,38,-2.6%,1.42,-16.0%,39,14.7%,1.69,-2.5%,34,,1.74,
Ukraine,Alcohol Stores,PRAVDA CRAFT MISSION,29,-6.5%,2.62,-4.4%,31,-41.5%,2.74,23.2%,53,,2.23,
Ukraine,Alcohol Stores,PIVOBANK,36,-18.2%,2.25,-5.7%,44,-38.0%,2.39,17.7%,71,,2.03,
Ukraine,Alcohol Stores,PYVOMARKET,48,-11.1%,1.75,2.7%,54,17.4%,1.7,13.6%,46,,1.5,
Ukraine,Grocery Stores,LEPRUKON,31,-3.1%,3.19,38.1%,32,52.4%,2.31,51.8%,21,,1.52,
Ukraine,Alcohol Stores,BEER COMPANY,27,-22.9%,2.74,39.0%,35,6.1%,1.97,8.4%,33,,1.82,
Ukraine,Alcohol Stores,SHOPYVO,34,-24.4%,1.76,32.4%,45,0.0%,1.33,-11.8%,45,,1.51,
Ukraine,Alcohol Stores,SEIM,27,-28.9%,3.11,-5.4%,38,-9.5%,3.29,9.6%,42,,3.,
Ukraine,Alcohol Stores,JERKINS AND BEER,33,10.0%,1.88,-7.6%,30,25.0%,2.03,-2.4%,24,,2.08,
Ukraine,Grocery Stores,RODYNNA KOVBASKA,36,-12.2%,1.61,34.8%,41,-59.0%,1.2,-12.1%,100,,1.36,
Ukraine,Alcohol Stores,PYVANDR,43,10.3%,1.79,16.4%,39,105.3%,1.54,46.2%,19,,1.05,
Ukraine,Alcohol Stores,PYVNA HAVAN,31,-31.1%,1.74,10.4%,45,2.3%,1.58,21.8%,44,,1.3,
Ukraine,Alcohol Stores,DRAFT BEER VINNYTSIA,34,6.3%,1.71,-4.2%,32,-3.0%,1.78,27.8%,33,,1.39,
Ukraine,Alcohol Stores,CRAFT BEER DNIPRO,42,35.5%,1.33,3.3%,31,19.2%,1.29,-23.8%,26,,1.69,
Ukraine,Flower Shops,ONE SAY,10,11.1%,1.1,-10.0%,9,28.6%,1.22,22.2%,7,,1.,
Ukraine,Alcohol Stores,BEARS BEER,30,-38.8%,2.03,-10.2%,49,-27.9%,2.27,-12.0%,68,,2.57,
Ukraine,Flower Shops,KVITY VAV,15,36.4%,1.07,6.7%,11,-8.3%,1.,0.0%,12,,1.,
Ukraine,Alcohol Stores,BEERROOM,28,-28.2%,2.64,25.7%,39,2.6%,2.1,-1.4%,38,,2.13,
Ukraine,Grocery Stores,O'NDE,25,,1.64,,,,,,,,,
Ukraine,Alcohol Stores,TOP BEER,27,-10.0%,1.37,17.5%,30,0.0%,1.17,-16.7%,30,,1.4,
Ukraine,Alcohol Stores,BEER EMPORIUM,17,-29.2%,2.94,35.7%,24,-36.8%,2.17,35.0%,38,,1.61,
Ukraine,Alcohol Stores,MAHAZYN-KAFE BAVARIA,24,-25.0%,1.25,-4.8%,32,33.3%,1.31,5.0%,24,,1.25,
Ukraine,Alcohol Stores,BRATER BEER WE GO,14,-22.2%,3.86,13.8%,18,-18.2%,3.39,52.2%,22,,2.23,
Ukraine,Alcohol Stores,VINNYTSKE PUVO,29,20.8%,1.93,-21.4%,24,-27.3%,2.46,30.8%,33,,1.88,
Ukraine,Alcohol Stores,UMANPIVO,28,-44.0%,1.89,-9.9%,50,-33.3%,2.1,16.7%,75,,1.8,
Ukraine,Alcohol Stores,SOLOD BEER MARKET,24,-7.7%,2.13,8.3%,26,-35.0%,1.96,-16.5%,40,,2.35,
Ukraine,Alcohol Stores,SUSHI VESLA,25,-3.8%,1.4,-28.6%,26,52.9%,1.96,28.3%,17,,1.53,
Ukraine,Alcohol Stores,PYVO L BEER BAR,17,41.7%,1.59,0.3%,12,-20.0%,1.58,8.0%,15,,1.47,
Ukraine,Specialty Stores,COFFEE STORY,18,-35.7%,2.11,-21.2%,28,-12.5%,2.68,55.8%,32,,1.72,
Ukraine,Alcohol Stores,PYVO MAN,29,20.8%,1.97,17.9%,24,-29.4%,1.67,-11.5%,34,,1.88,
Ukraine,Alcohol Stores,PYVNA LIHA,31,-11.4%,1.26,-42.8%,35,-10.3%,2.2,12.9%,39,,1.95,
Ukraine,Alcohol Stores,PYVO TUTA,20,42.9%,1.5,-34.4%,14,-64.1%,2.29,39.3%,39,,1.64,
Ukraine,Alcohol Stores,MISTO PIVMARKET,15,-51.6%,2.6,55.0%,31,-8.8%,1.68,-6.5%,34,,1.79,
Ukraine,Tobacco Stores,VAPERY | VAPE SHOP,23,4.5%,1.04,-0.2%,22,0.0%,1.05,0.0%,22,,1.05,
Ukraine,Alcohol Stores,GANESHABEER,18,63.6%,1.89,38.5%,11,"1,000.0%",1.36,36.4%,1,,1.,
Ukraine,Alcohol Stores,MAHAZYN ROZLYVNOHO PYVA PYVOTEKA,22,"1,000.0%",1.23,-18.2%,2,100.0%,1.5,50.0%,1,,1.,
Ukraine,Alcohol Stores,PYVKO,20,42.9%,1.35,-34.8%,14,-12.5%,2.07,22.8%,16,,1.69,
Ukraine,Alcohol Stores,PIV.KO,21,61.5%,1.38,-18.4%,13,-31.6%,1.69,-15.4%,19,,2.,
Ukraine,Alcohol Stores,PIVOMARKET KYIV,21,-66.1%,1.62,-27.3%,62,-41.5%,2.23,22.9%,106,,1.81,
Ukraine,Alcohol Stores,BROVARNYA 8,22,15.8%,1.27,-30.9%,19,11.8%,1.84,8.0%,17,,1.71,
Ukraine,Alcohol Stores,CHEESE&WINE,14,7.7%,1.36,10.3%,13,-48.0%,1.23,-6.8%,25,,1.32,
Ukraine,Alcohol Stores,BEERWIEL,12,-33.3%,2.67,20.0%,18,125.0%,2.22,27.0%,8,,1.75,
Ukraine,Gas Station Convenience,BRSM,19,-83.5%,1.42,-14.9%,115,-39.8%,1.67,25.1%,191,,1.34,
Ukraine,Alcohol Stores,KAFETERIY,17,-39.3%,1.41,9.8%,28,40.0%,1.29,7.1%,20,,1.2,
Ukraine,Alcohol Stores,CRAFT BEER MARKET,16,60.0%,1.31,-40.3%,10,-52.4%,2.2,54.0%,21,,1.43,
Ukraine,Alcohol Stores,APIVAS,16,-5.9%,2.25,31.9%,17,183.3%,1.71,-36.0%,6,,2.67,
Ukraine,Alcohol Stores,BEER FRESH,12,0.0%,1.25,-25.0%,12,-7.7%,1.67,8.3%,13,,1.54,
Ukraine,Alcohol Stores,WINE GALLERY,7,0.0%,1.86,-13.3%,7,,2.14,,,,,
Ukraine,Alcohol Stores,COOL BEER,9,28.6%,1.89,32.2%,7,-50.0%,1.43,-33.3%,14,,2.14,
Ukraine,Grocery Stores,SHARLOTKA_,11,-38.9%,1.36,29.2%,18,-30.8%,1.06,-25.8%,26,,1.42,
Ukraine,Alcohol Stores,BROVARNIA PYVNA LEHENDA,12,0.0%,1.5,38.5%,12,-14.3%,1.08,-20.2%,14,,1.36,
Ukraine,Alcohol Stores,PYVO I VISKI LBEER,8,-20.0%,1.5,-6.3%,10,-16.7%,1.6,6.7%,12,,1.5,
Ukraine,Flower Shops,FLEUR DELICATE,5,-16.7%,1.,0.0%,6,500.0%,1.,0.0%,1,,1.,
Ukraine,Flower Shops,LIME FLOWERS&DECOR,10,66.7%,1.1,10.0%,6,-25.0%,1.,0.0%,8,,1.,
Ukraine,Alcohol Stores,PIVNOY BUTIK,10,-41.2%,1.2,-2.9%,17,-5.6%,1.24,-11.1%,18,,1.39,
Ukraine,,TOCHKA,10,11.1%,1.9,55.5%,9,50.0%,1.22,-18.5%,6,,1.5,
Ukraine,Alcohol Stores,MAHAZYN ROZLYVNOHO PYVA BAVARIA,11,10.0%,1.36,-2.6%,10,25.0%,1.4,-34.1%,8,,2.13,
Ukraine,Alcohol Stores,JAGER BREWERY,11,-8.3%,2.27,-28.2%,12,-42.9%,3.17,66.3%,21,,1.9,
Ukraine,Alcohol Stores,KLAN PYVA,8,-52.9%,1.5,10.9%,17,-15.0%,1.35,-6.7%,20,,1.45,
Ukraine,Grocery Stores,DAKS MARKET,9,12.5%,1.67,66.7%,8,0.0%,1.,-11.1%,8,,1.13,
Ukraine,Flower Shops,RWW.ART,2,-71.4%,1.5,50.0%,7,600.0%,1.,0.0%,1,,1.,
Ukraine,Alcohol Stores,BEER SOTA,9,-10.0%,1.56,-29.3%,10,-61.5%,2.2,-19.4%,26,,2.73,
Ukraine,Alcohol Stores,PIVKO KHM,7,-46.2%,2.,18.2%,13,-18.8%,1.69,42.5%,16,,1.19,
Ukraine,Alcohol Stores,BRATER BAR,11,-35.3%,1.27,3.0%,17,70.0%,1.24,-11.8%,10,,1.4,
Ukraine,Alcohol Stores,GOLD BEER PUB,7,40.0%,1.86,85.7%,5,-58.3%,1.,-76.5%,12,,4.25,
Ukraine,Alcohol Stores,PORTAL PUB,3,0.0%,1.,0.0%,3,0.0%,1.,-25.0%,3,,1.33,
